Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Excel Sample Data,Anti-Glare Screen Protector,35.97826086956522,15.369565217391305,6.826086956521739,43.56521739130435,155.7826086956522,7820.869565217391
,Excel Sample Data,Anti-Glare Screen Protector,35.97826086956522,15.369565217391305,6.826086956521739,43.56521739130435,155.7826086956522,7820.869565217391
,Inventory Records Data,Anti-Glare Screen Protector,35.97826086956522,15.369565217391305,6.826086956521739,43.56521739130435,155.7826086956522,7820.869565217391
,Excel Sample Data,Anti-Glare Screen Protector,35.97826086956522,15.369565217391305,6.826086956521739,43.56521739130435,155.7826086956522,7820.869565217391
,Product ID,Product Name,35.97826086956522,15.369565217391305,6.826086956521739,43.56521739130435,155.7826086956522,7820.869565217391
,P101,Laptop,50.0,20.0,10.0,60.0,1050.0,72000.0
,P102,Monitor,40.0,15.0,5.0,50.0,500.0,25000.0
,P103,Keyboard,60.0,25.0,15.0,70.0,50.0,3500.0
,P104,Headphones,30.0,10.0,3.0,37.0,100.0,3700.0
,P105,Smartphone,65.0,30.0,17.5,77.5,900.0,72000.0
,P106,Tablet,45.0,18.0,8.0,55.0,700.0,38500.0
,P107,Router,55.0,22.0,12.0,65.0,150.0,9750.0
,P108,External Hard Drive,25.0,12.0,5.0,32.0,200.0,6400.0
,P109,Wireless Earbuds,35.0,15.0,7.0,43.0,80.0,3440.0
,P110,Webcam,40.0,20.0,10.0,50.0,60.0,3000.0
,P111,Desk Chair,20.0,8.0,3.0,25.0,150.0,3750.0
,P112,Desk Lamp,30.0,15.0,7.0,38.0,30.0,1140.0
,P113,USB Flash Drive,50.0,25.0,12.0,63.0,20.0,1260.0
,P114,Ethernet Cable,60.0,30.0,15.0,75.0,10.0,750.0
,P115,Power Strip,40.0,20.0,8.0,52.0,25.0,1300.0
,P116,Wireless Mouse,35.0,15.0,5.0,45.0,40.0,1800.0
,P117,Gaming Keyboard,25.0,10.0,4.0,31.0,100.0,3100.0
,P118,Gaming Mouse,30.0,12.0,6.0,36.0,80.0,2880.0
,P119,Gaming Headset,20.0,8.0,3.0,25.0,120.0,3000.0
,P120,Gaming Chair,15.0,6.0,2.0,19.0,200.0,3800.0
,P121,Gaming Monitor,25.0,10.0,4.0,29.0,400.0,11600.0
,P122,Graphics Card,40.0,18.0,9.0,49.0,600.0,29400.0
,P123,CPU,30.0,15.0,7.0,38.0,350.0,13300.0
,P124,Motherboard,25.0,12.0,5.0,32.0,200.0,6400.0
,P125,RAM,50.0,22.0,11.0,61.0,80.0,4880.0
,P126,SSD,45.0,20.0,8.0,57.0,120.0,6840.0
,P127,HDD,60.0,25.0,12.0,73.0,60.0,4380.0
,P128,Power Supply,35.0,15.0,6.0,44.0,100.0,4400.0
,P129,PC Case,40.0,18.0,9.0,49.0,80.0,3920.0
,P130,CPU Cooler,30.0,12.0,4.0,34.0,50.0,1700.0
,P131,Monitor Stand,25.0,10.0,3.0,28.0,30.0,840.0
,P132,Mouse Pad,50.0,20.0,8.0,58.0,10.0,580.0
,P133,Thermal Paste,40.0,15.0,5.0,50.0,5.0,250.0
,P134,Cable Management Kit,30.0,12.0,4.0,34.0,15.0,510.0
,P135,WiFi Adapter,20.0,8.0,3.0,23.0,20.0,460.0
,P136,External DVD Drive,15.0,6.0,2.0,17.0,50.0,850.0
,P137,Printer Cable,25.0,10.0,4.0,29.0,5.0,145.0
,P138,Keyboard Cleaner,40.0,18.0,9.0,49.0,8.0,392.0
,P139,Laptop Cooling Pad,30.0,15.0,6.0,39.0,20.0,780.0
,P140,USB Hub,35.0,12.0,4.0,31.0,15.0,465.0
,P141,Anti-Glare Screen Protector,25.0,8.0,3.0,28.0,10.0,280.0
,P142,USB-C Adapter,20.0,10.0,4.0,24.0,15.0,360.0
,P143,Laptop Sleeve,30.0,12.0,5.0,37.0,20.0,740.0
,P144,Wireless Charger,40.0,18.0,7.0,51.0,30.0,1530.0
,P145,USB-C Cable,50.0,20.0,9.0,61.0,8.0,488.0
,P146,Gaming Desk,25.0,10.0,3.0,28.0,150.0,4200.0
